elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,stop_reason
1310.24,1354873,3354.72900390625,3416.743408203125,3423.9970703125,3426.796142578125,3422.6025390625,3429.568115234375,3462.58740234375,3354.7890625,3416.748779296875,3423.914306640625,3426.885009765625,3422.590087890625,3429.5986328125,3462.551513671875,23937.078125,23937.0625,-2103.51611328125,-2103.33447265625,39.79736328125,1,True,ON,0,
1310.29,1354925,3354.814453125,3416.826904296875,3423.9951171875,3427.03955078125,3422.4775390625,3429.6025390625,3462.656494140625,3354.7802734375,3416.7578125,3423.896484375,3426.900634765625,3422.56689453125,3429.546630859375,3462.61865234375,23937.068359375,23937.12109375,-2101.2451171875,-2103.50537109375,39.79736328125,1,True,ON,0,
1310.34,1354976,3354.796142578125,3416.767822265625,3423.84130859375,3426.822509765625,3422.541748046875,3429.502197265625,3462.62939453125,3354.792236328125,3416.75244140625,3423.90869140625,3426.869873046875,3422.582763671875,3429.517578125,3462.664306640625,23937.162109375,23937.1328125,-2103.310302734375,-2103.5771484375,39.79736328125,1,True,ON,0,
1310.39,1355028,3354.847412109375,3416.822998046875,3423.858154296875,3427.012939453125,3422.640625,3429.645263671875,3462.5078125,3354.803955078125,3416.75634765625,3423.8837890625,3426.93994140625,3422.572509765625,3429.575439453125,3462.64208984375,23937.185546875,23937.1640625,-2101.884521484375,-2103.59228515625,39.79736328125,1,True,ON,0,
1310.44,1355078,3354.874755859375,3416.781494140625,3423.896484375,3426.929443359375,3422.588134765625,3429.6357421875,3462.653564453125,3354.834228515625,3416.803466796875,3423.907958984375,3426.920654296875,3422.607177734375,3429.56494140625,3462.634765625,23937.2734375,23937.21484375,-2105.344482421875,-2103.561767578125,39.79736328125,1,True,ON,0,
1310.49,1355130,3354.814453125,3416.826904296875,3423.884033203125,3427.0,3422.5478515625,3429.5419921875,3462.596923828125,3354.82080078125,3416.807373046875,3423.88427734375,3426.955322265625,3422.57421875,3429.584716796875,3462.630859375,23937.255859375,23937.251953125,-2105.00927734375,-2103.5673828125,39.79736328125,1,True,ON,0,
1310.54,1355180,3354.785400390625,3416.8134765625,3423.9091796875,3426.99560546875,3422.559326171875,3429.686767578125,3462.706787109375,3354.823974609375,3416.80517578125,3423.887939453125,3426.93115234375,3422.56591796875,3429.6123046875,3462.699951171875,23937.26953125,23937.310546875,-2103.17626953125,-2103.273193359375,39.79736328125,1,True,ON,0,
1310.59,1355231,3354.807861328125,3416.833251953125,3423.87158203125,3426.911865234375,3422.68017578125,3429.574462890625,3462.67529296875,3354.846435546875,3416.815185546875,3423.93212890625,3426.9267578125,3422.607177734375,3429.627685546875,3462.666259765625,23937.43359375,23937.369140625,-2104.119384765625,-2103.555908203125,39.79736328125,1,True,ON,0,
1310.64,1355282,3354.86962890625,3416.76220703125,3423.95263671875,3426.9658203125,3422.614013671875,3429.641357421875,3462.704345703125,3354.8486328125,3416.7880859375,3423.912109375,3426.95166015625,3422.5751953125,3429.63232421875,3462.681640625,23937.388671875,23937.390625,-2105.523193359375,-2102.742431640625,39.79736328125,1,True,ON,0,
1310.70,1355334,3354.81640625,3416.832275390625,3423.963134765625,3427.016357421875,3422.64697265625,3429.713623046875,3462.704345703125,3354.84716796875,3416.7802734375,3423.9150390625,3426.987060546875,3422.573974609375,3429.62939453125,3462.73681640625,23937.46875,23937.443359375,-2103.797607421875,-2103.365966796875,39.79736328125,1,True,ON,0,
