elapsed_s,uptime_ms,cell_v1,cell_v2,cell_v3,cell_v4,cell_v5,cell_v6,cell_v7,cell_vf1,cell_vf2,cell_vf3,cell_vf4,cell_vf5,cell_vf6,cell_vf7,pack_voltage_mv,pack_voltage_filtered_mv,current_ma,current_filtered_ma,temperature_c,fet_status,fet_main_enabled,commanded_fet_state,learning_status,segment_type,target_pct,segment_coulomb_mah,stop_reason
1591.60,1702002,3417.6025390625,3479.380859375,3484.584228515625,3485.469970703125,3481.9892578125,3485.9658203125,3516.81689453125,3417.642822265625,3479.391357421875,3484.607177734375,3485.435791015625,3481.966552734375,3485.92822265625,3516.87255859375,24351.84375,24351.876953125,-9.037120819091797,-8.585741996765137,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1591.65,1702053,3417.666259765625,3479.379638671875,3484.655029296875,3485.449951171875,3482.012939453125,3485.94970703125,3516.881591796875,3417.67236328125,3479.38427734375,3484.640625,3485.406005859375,3481.9462890625,3485.962158203125,3516.901123046875,24351.943359375,24351.880859375,-9.028180122375488,-8.627041816711426,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1591.70,1702104,3417.696044921875,3479.359619140625,3484.650634765625,3485.345458984375,3481.96142578125,3485.870849609375,3516.869140625,3417.640625,3479.4072265625,3484.62890625,3485.376220703125,3481.924560546875,3485.94384765625,3516.970947265625,24351.890625,24351.912109375,-8.683963775634766,-8.585606575012207,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1591.76,1702156,3417.567138671875,3479.371337890625,3484.57177734375,3485.305908203125,3481.9345703125,3485.863525390625,3517.033447265625,3417.614990234375,3479.43603515625,3484.615234375,3485.382080078125,3481.942138671875,3485.89990234375,3516.993408203125,24351.884765625,24351.884765625,-8.196695327758789,-8.574180603027344,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1591.81,1702206,3417.565185546875,3479.478271484375,3484.55419921875,3485.3486328125,3481.840576171875,3485.994873046875,3516.939208984375,3417.5927734375,3479.47021484375,3484.582275390625,3485.331298828125,3481.898681640625,3486.001220703125,3516.848876953125,24351.720703125,24351.75,-8.205636024475098,-8.568365097045898,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1591.86,1702257,3417.72705078125,3479.41259765625,3484.660400390625,3485.297119140625,3482.035888671875,3486.055419921875,3516.825439453125,3417.664306640625,3479.40966796875,3484.5771484375,3485.34521484375,3481.9609375,3486.008544921875,3516.84228515625,24351.80859375,24351.7734375,-8.169873237609863,-8.351624488830566,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1591.91,1702308,3417.664306640625,3479.41259765625,3484.62158203125,3485.331298828125,3482.064697265625,3485.946533203125,3516.915283203125,3417.676513671875,3479.4296875,3484.6015625,3485.351806640625,3482.02392578125,3485.9306640625,3516.92529296875,24351.94140625,24351.9140625,-8.366568565368652,-8.547037124633789,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1591.96,1702358,3417.68017578125,3479.445556640625,3484.5654296875,3485.478759765625,3481.99169921875,3485.989501953125,3516.78125,3417.693115234375,3479.43115234375,3484.572998046875,3485.368896484375,3482.004638671875,3485.933837890625,3516.92041015625,24351.90625,24351.92578125,-8.464916229248047,-8.40640640258789,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.01,1702409,3417.652587890625,3479.32470703125,3484.641357421875,3485.344482421875,3482.005126953125,3486.069580078125,3516.83251953125,3417.6533203125,3479.4287109375,3484.58349609375,3485.340087890625,3482.010009765625,3485.947509765625,3516.8896484375,24351.80859375,24351.853515625,-8.169873237609863,-8.577263832092285,30.142730712890625,0,False,OFF,0,REST,8,0.000,
1592.06,1702460,3417.66845703125,3479.434814453125,3484.65185546875,3485.250732421875,3481.86767578125,3486.06103515625,3516.809326171875,3417.642578125,3479.40771484375,3484.57373046875,3485.349365234375,3481.966552734375,3485.9755859375,3516.84716796875,24351.76171875,24351.7734375,-8.567733764648438,-8.569290161132812,30.142730712890625,0,False,OFF,0,REST,8,0.000,
